flag_id,customer_id,flag_type,flag_severity,created_date,risk_weight
FLAG0036,CUST021,incomplete_docs,Medium,2026-06-26,15
FLAG0037,CUST022,high_risk_jurisdiction,High,2026-04-25,20
FLAG0038,CUST022,incomplete_docs,Medium,2026-04-25,15
FLAG0039,CUST023,complex_ubo,High,2026-05-28,20
FLAG0040,CUST023,adverse_media,High,2026-05-28,25
FLAG0041,CUST023,incomplete_docs,Medium,2026-05-28,15
FLAG0042,CUST024,high_risk_jurisdiction,High,2026-03-14,20
FLAG0043,CUST024,complex_ubo,High,2026-03-14,20
FLAG0044,CUST024,unusual_expected_volume,Medium,2026-03-14,10
FLAG0045,CUST024,incomplete_docs,Medium,2026-03-14,15
FLAG0046,CUST025,unusual_expected_volume,Medium,2026-06-21,10
FLAG0047,CUST025,adverse_media,High,2026-06-21,25
FLAG0048,CUST025,incomplete_docs,Medium,2026-06-21,15
FLAG0049,CUST027,complex_ubo,High,2026-07-02,20
FLAG0050,CUST027,incomplete_docs,Medium,2026-07-02,15
FLAG0051,CUST028,incomplete_docs,Medium,2026-06-04,15
FLAG0052,CUST029,complex_ubo,High,2026-04-27,20
FLAG0053,CUST029,unusual_expected_volume,Medium,2026-04-27,10
FLAG0054,CUST030,incomplete_docs,Medium,2026-06-01,15
FLAG0055,CUST031,high_risk_jurisdiction,High,2026-04-10,20
FLAG0056,CUST031,complex_ubo,High,2026-04-10,20
FLAG0057,CUST031,high_source_of_funds_risk,High,2026-04-10,20
FLAG0058,CUST031,incomplete_docs,Medium,2026-04-10,15
FLAG0059,CUST033,adverse_media,High,2026-06-05,25
FLAG0060,CUST033,incomplete_docs,Medium,2026-06-05,15
FLAG0061,CUST035,high_source_of_funds_risk,High,2026-05-30,20
FLAG0062,CUST035,sanctions_indicator,High,2026-05-30,100
FLAG0063,CUST035,incomplete_docs,Medium,2026-05-30,15
FLAG0064,CUST036,high_risk_jurisdiction,High,2026-05-05,20
FLAG0065,CUST036,complex_ubo,High,2026-05-05,20
FLAG0066,CUST036,unusual_expected_volume,Medium,2026-05-05,10
FLAG0067,CUST036,adverse_media,High,2026-05-05,25
FLAG0068,CUST036,incomplete_docs,Medium,2026-05-05,15
FLAG0069,CUST037,incomplete_docs,Medium,2026-06-22,15
FLAG0070,CUST038,high_risk_jurisdiction,High,2026-03-16,20
FLAG0071,CUST038,pep_exposure,High,2026-03-16,25
FLAG0072,CUST038,incomplete_docs,Medium,2026-03-16,15
FLAG0073,CUST039,pep_exposure,High,2026-05-22,25
FLAG0074,CUST039,unusual_expected_volume,Medium,2026-05-22,10
FLAG0075,CUST039,incomplete_docs,Medium,2026-05-22,15
FLAG0076,CUST040,incomplete_docs,Medium,2026-05-08,15
FLAG0077,CUST041,incomplete_docs,Medium,2026-06-03,15
FLAG0078,CUST042,unusual_expected_volume,Medium,2026-04-26,10
FLAG0079,CUST043,incomplete_docs,Medium,2026-05-03,15
FLAG0080,CUST044,high_risk_jurisdiction,High,2026-05-17,20
FLAG0081,CUST044,incomplete_docs,Medium,2026-05-17,15
FLAG0082,CUST045,incomplete_docs,Medium,2026-05-11,15
FLAG0083,CUST046,high_risk_jurisdiction,High,2026-06-27,20
FLAG0084,CUST046,pep_exposure,High,2026-06-27,25
FLAG0085,CUST046,incomplete_docs,Medium,2026-06-27,15
FLAG0086,CUST047,unusual_expected_volume,Medium,2026-05-04,10
FLAG0087,CUST048,adverse_media,High,2026-04-19,25
FLAG0088,CUST048,incomplete_docs,Medium,2026-04-19,15
FLAG0089,CUST049,complex_ubo,High,2026-03-13,20
FLAG0090,CUST049,unusual_expected_volume,Medium,2026-03-13,10
FLAG0091,CUST049,incomplete_docs,Medium,2026-03-13,15
FLAG0092,CUST050,complex_ubo,High,2026-04-11,20
FLAG0093,CUST050,high_source_of_funds_risk,High,2026-04-11,20
FLAG0094,CUST050,pep_exposure,High,2026-04-11,25
FLAG0095,CUST050,incomplete_docs,Medium,2026-04-11,15
FLAG0096,CUST051,complex_ubo,High,2026-06-01,20
FLAG0097,CUST051,incomplete_docs,Medium,2026-06-01,15
FLAG0098,CUST052,high_risk_jurisdiction,High,2026-03-08,20
FLAG0099,CUST052,complex_ubo,High,2026-03-08,20
FLAG0100,CUST054,unusual_expected_volume,Medium,2026-05-21,10
FLAG0101,CUST054,incomplete_docs,Medium,2026-05-21,15
FLAG0102,CUST055,incomplete_docs,Medium,2026-05-09,15
FLAG0103,CUST056,complex_ubo,High,2026-03-07,20
FLAG0104,CUST057,pep_exposure,High,2026-06-21,25
FLAG0105,CUST057,unusual_expected_volume,Medium,2026-06-21,10
FLAG0106,CUST057,adverse_media,High,2026-06-21,25
FLAG0107,CUST057,incomplete_docs,Medium,2026-06-21,15
FLAG0108,CUST058,complex_ubo,High,2026-05-22,20
FLAG0109,CUST058,unusual_expected_volume,Medium,2026-05-22,10
FLAG0110,CUST059,unusual_expected_volume,Medium,2026-03-10,10
FLAG0111,CUST059,incomplete_docs,Medium,2026-03-10,15
FLAG0112,CUST060,incomplete_docs,Medium,2026-07-04,15
FLAG0113,CUST061,complex_ubo,High,2026-05-09,20
FLAG0114,CUST061,high_source_of_funds_risk,High,2026-05-09,20
FLAG0115,CUST061,unusual_expected_volume,Medium,2026-05-09,10
FLAG0116,CUST061,adverse_media,High,2026-05-09,25
FLAG0117,CUST062,high_risk_jurisdiction,High,2026-03-13,20
FLAG0118,CUST062,high_source_of_funds_risk,High,2026-03-13,20
FLAG0119,CUST062,incomplete_docs,Medium,2026-03-13,15
FLAG0120,CUST063,complex_ubo,High,2026-04-25,20
FLAG0121,CUST063,unusual_expected_volume,Medium,2026-04-25,10
FLAG0122,CUST063,incomplete_docs,Medium,2026-04-25,15
FLAG0123,CUST064,complex_ubo,High,2026-05-19,20
FLAG0124,CUST064,incomplete_docs,Medium,2026-05-19,15
FLAG0125,CUST065,complex_ubo,High,2026-06-21,20
FLAG0126,CUST065,unusual_expected_volume,Medium,2026-06-21,10
FLAG0127,CUST065,incomplete_docs,Medium,2026-06-21,15
FLAG0128,CUST066,high_source_of_funds_risk,High,2026-03-07,20
FLAG0129,CUST066,unusual_expected_volume,Medium,2026-03-07,10
FLAG0130,CUST066,incomplete_docs,Medium,2026-03-07,15
FLAG0131,CUST067,complex_ubo,High,2026-06-12,20
FLAG0132,CUST067,incomplete_docs,Medium,2026-06-12,15
FLAG0133,CUST068,incomplete_docs,Medium,2026-03-26,15
FLAG0134,CUST069,complex_ubo,High,2026-06-09,20
FLAG0135,CUST069,high_source_of_funds_risk,High,2026-06-09,20
FLAG0136,CUST069,incomplete_docs,Medium,2026-06-09,15
FLAG0137,CUST070,high_risk_jurisdiction,High,2026-07-01,20
FLAG0138,CUST070,complex_ubo,High,2026-07-01,20
FLAG0139,CUST070,incomplete_docs,Medium,2026-07-01,15
FLAG0140,CUST071,complex_ubo,High,2026-06-26,20
FLAG0141,CUST071,unusual_expected_volume,Medium,2026-06-26,10
FLAG0142,CUST071,incomplete_docs,Medium,2026-06-26,15
FLAG0143,CUST072,incomplete_docs,Medium,2026-07-01,15
FLAG0144,CUST073,incomplete_docs,Medium,2026-06-30,15
FLAG0145,CUST074,complex_ubo,High,2026-03-26,20
FLAG0146,CUST074,unusual_expected_volume,Medium,2026-03-26,10
FLAG0147,CUST074,incomplete_docs,Medium,2026-03-26,15
FLAG0148,CUST075,unusual_expected_volume,Medium,2026-04-22,10
FLAG0149,CUST075,incomplete_docs,Medium,2026-04-22,15
FLAG0150,CUST076,incomplete_docs,Medium,2026-04-29,15
FLAG0151,CUST077,complex_ubo,High,2026-03-09,20
FLAG0152,CUST077,high_source_of_funds_risk,High,2026-03-09,20
FLAG0153,CUST077,unusual_expected_volume,Medium,2026-03-09,10
FLAG0154,CUST078,complex_ubo,High,2026-03-11,20
FLAG0155,CUST078,unusual_expected_volume,Medium,2026-03-11,10
FLAG0156,CUST078,incomplete_docs,Medium,2026-03-11,15
FLAG0157,CUST079,high_source_of_funds_risk,High,2026-05-14,20
FLAG0158,CUST079,incomplete_docs,Medium,2026-05-14,15
FLAG0159,CUST080,incomplete_docs,Medium,2026-04-10,15
FLAG0160,CUST081,high_risk_jurisdiction,High,2026-03-20,20
FLAG0161,CUST081,high_source_of_funds_risk,High,2026-03-20,20
FLAG0162,CUST081,adverse_media,High,2026-03-20,25
FLAG0163,CUST081,incomplete_docs,Medium,2026-03-20,15
FLAG0164,CUST082,complex_ubo,High,2026-03-26,20
FLAG0165,CUST082,high_source_of_funds_risk,High,2026-03-26,20
FLAG0166,CUST082,incomplete_docs,Medium,2026-03-26,15
FLAG0167,CUST083,unusual_expected_volume,Medium,2026-06-07,10
FLAG0168,CUST084,high_risk_jurisdiction,High,2026-04-11,20
FLAG0169,CUST084,incomplete_docs,Medium,2026-04-11,15
FLAG0170,CUST085,complex_ubo,High,2026-03-23,20
FLAG0171,CUST085,incomplete_docs,Medium,2026-03-23,15
FLAG0172,CUST088,high_risk_jurisdiction,High,2026-04-12,20
FLAG0173,CUST088,incomplete_docs,Medium,2026-04-12,15
FLAG0174,CUST090,high_risk_jurisdiction,High,2026-06-17,20
FLAG0175,CUST090,pep_exposure,High,2026-06-17,25
FLAG0176,CUST090,incomplete_docs,Medium,2026-06-17,15
FLAG0177,CUST091,high_risk_jurisdiction,High,2026-03-22,20
FLAG0178,CUST091,unusual_expected_volume,Medium,2026-03-22,10
FLAG0179,CUST091,incomplete_docs,Medium,2026-03-22,15
FLAG0180,CUST092,high_risk_jurisdiction,High,2026-03-16,20
FLAG0181,CUST092,complex_ubo,High,2026-03-16,20
FLAG0182,CUST092,pep_exposure,High,2026-03-16,25
FLAG0183,CUST092,unusual_expected_volume,Medium,2026-03-16,10
FLAG0184,CUST092,incomplete_docs,Medium,2026-03-16,15
FLAG0185,CUST093,high_risk_jurisdiction,High,2026-04-14,20
FLAG0186,CUST093,unusual_expected_volume,Medium,2026-04-14,10
FLAG0187,CUST094,incomplete_docs,Medium,2026-05-09,15
FLAG0188,CUST095,complex_ubo,High,2026-05-25,20
FLAG0189,CUST095,adverse_media,High,2026-05-25,25
FLAG0190,CUST095,incomplete_docs,Medium,2026-05-25,15
FLAG0191,CUST096,incomplete_docs,Medium,2026-04-07,15
FLAG0192,CUST097,incomplete_docs,Medium,2026-05-23,15
FLAG0193,CUST098,high_risk_jurisdiction,High,2026-05-12,20
FLAG0194,CUST098,complex_ubo,High,2026-05-12,20
FLAG0195,CUST098,high_source_of_funds_risk,High,2026-05-12,20
FLAG0196,CUST098,pep_exposure,High,2026-05-12,25
FLAG0197,CUST098,unusual_expected_volume,Medium,2026-05-12,10
FLAG0198,CUST099,high_risk_jurisdiction,High,2026-05-04,20
FLAG0199,CUST099,high_source_of_funds_risk,High,2026-05-04,20
FLAG0200,CUST099,incomplete_docs,Medium,2026-05-04,15
FLAG0201,CUST100,complex_ubo,High,2026-03-12,20
FLAG0202,CUST100,unusual_expected_volume,Medium,2026-03-12,10
FLAG0203,CUST100,adverse_media,High,2026-03-12,25
FLAG0204,CUST100,incomplete_docs,Medium,2026-03-12,15
FLAG0205,CUST101,high_risk_jurisdiction,High,2026-05-31,20
FLAG0206,CUST101,high_source_of_funds_risk,High,2026-05-31,20
FLAG0207,CUST101,adverse_media,High,2026-05-31,25
FLAG0208,CUST101,incomplete_docs,Medium,2026-05-31,15
FLAG0209,CUST102,high_risk_jurisdiction,High,2026-04-10,20
FLAG0210,CUST102,high_source_of_funds_risk,High,2026-04-10,20
FLAG0211,CUST103,high_risk_jurisdiction,High,2026-04-27,20
FLAG0212,CUST103,complex_ubo,High,2026-04-27,20
FLAG0213,CUST103,unusual_expected_volume,Medium,2026-04-27,10
FLAG0214,CUST104,complex_ubo,High,2026-05-11,20
FLAG0215,CUST104,unusual_expected_volume,Medium,2026-05-11,10
FLAG0216,CUST104,incomplete_docs,Medium,2026-05-11,15
FLAG0217,CUST107,high_risk_jurisdiction,High,2026-06-24,20
FLAG0218,CUST107,unusual_expected_volume,Medium,2026-06-24,10
FLAG0219,CUST107,incomplete_docs,Medium,2026-06-24,15
FLAG0220,CUST108,high_risk_jurisdiction,High,2026-04-12,20
FLAG0221,CUST108,incomplete_docs,Medium,2026-04-12,15
FLAG0222,CUST109,incomplete_docs,Medium,2026-03-19,15
FLAG0223,CUST110,high_source_of_funds_risk,High,2026-05-05,20
FLAG0224,CUST110,adverse_media,High,2026-05-05,25
FLAG0225,CUST111,high_source_of_funds_risk,High,2026-06-02,20
FLAG0226,CUST111,unusual_expected_volume,Medium,2026-06-02,10
FLAG0227,CUST111,adverse_media,High,2026-06-02,25
FLAG0228,CUST111,incomplete_docs,Medium,2026-06-02,15
FLAG0229,CUST112,high_source_of_funds_risk,High,2026-06-21,20
FLAG0230,CUST112,pep_exposure,High,2026-06-21,25
FLAG0231,CUST112,incomplete_docs,Medium,2026-06-21,15
FLAG0232,CUST113,unusual_expected_volume,Medium,2026-04-04,10
FLAG0233,CUST114,high_source_of_funds_risk,High,2026-03-28,20
FLAG0234,CUST114,unusual_expected_volume,Medium,2026-03-28,10
FLAG0235,CUST114,incomplete_docs,Medium,2026-03-28,15
FLAG0236,CUST115,unusual_expected_volume,Medium,2026-06-29,10
FLAG0237,CUST115,adverse_media,High,2026-06-29,25
FLAG0238,CUST115,incomplete_docs,Medium,2026-06-29,15
FLAG0239,CUST117,complex_ubo,High,2026-05-10,20
FLAG0240,CUST117,incomplete_docs,Medium,2026-05-10,15
FLAG0241,CUST118,high_source_of_funds_risk,High,2026-04-02,20
FLAG0242,CUST118,incomplete_docs,Medium,2026-04-02,15
FLAG0243,CUST119,high_source_of_funds_risk,High,2026-03-21,20
FLAG0244,CUST119,sanctions_indicator,High,2026-03-21,100
FLAG0245,CUST119,incomplete_docs,Medium,2026-03-21,15
FLAG0246,CUST120,pep_exposure,High,2026-03-14,25
FLAG0247,CUST120,incomplete_docs,Medium,2026-03-14,15
