event_id,customer_id,stage,event_status,event_date
EVT0043,CUST007,docs_requested,Completed,2026-04-16
EVT0044,CUST007,docs_received,Completed,2026-04-22
EVT0045,CUST007,screening_completed,Completed,2026-04-24
EVT0046,CUST007,analyst_review,Completed,2026-04-30
EVT0047,CUST007,compliance_review,Completed,2026-05-02
EVT0048,CUST007,approved,Completed,2026-05-08
EVT0049,CUST008,application_submitted,Completed,2026-02-07
EVT0050,CUST008,docs_requested,Completed,2026-02-14
EVT0051,CUST008,docs_received,Completed,2026-02-19
EVT0052,CUST008,screening_completed,Completed,2026-02-24
EVT0053,CUST008,analyst_review,Completed,2026-02-26
EVT0054,CUST008,compliance_review,Completed,2026-03-03
EVT0055,CUST008,approved,Completed,2026-03-08
EVT0056,CUST009,application_submitted,Completed,2026-01-19
EVT0057,CUST009,docs_requested,Completed,2026-01-23
EVT0058,CUST009,docs_received,Completed,2026-01-29
EVT0059,CUST009,screening_completed,Completed,2026-02-04
EVT0060,CUST009,analyst_review,Completed,2026-02-10
EVT0061,CUST009,compliance_review,Completed,2026-02-16
EVT0062,CUST009,approved,Completed,2026-02-20
EVT0063,CUST010,application_submitted,Completed,2025-12-29
EVT0064,CUST010,docs_requested,Completed,2026-01-01
EVT0065,CUST010,docs_received,Completed,2026-01-02
EVT0066,CUST010,screening_completed,Completed,2026-01-03
EVT0067,CUST010,analyst_review,Completed,2026-01-06
EVT0068,CUST010,compliance_review,Completed,2026-01-10
EVT0069,CUST010,approved,Completed,2026-01-13
EVT0070,CUST011,application_submitted,Completed,2026-01-26
EVT0071,CUST011,docs_requested,Completed,2026-02-01
EVT0072,CUST011,docs_received,Completed,2026-02-03
EVT0073,CUST011,screening_completed,Completed,2026-02-09
EVT0074,CUST011,analyst_review,Completed,2026-02-15
EVT0075,CUST011,compliance_review,Completed,2026-02-19
EVT0076,CUST011,approved,Completed,2026-02-23
EVT0077,CUST012,application_submitted,Completed,2026-01-22
EVT0078,CUST012,docs_requested,Completed,2026-01-26
EVT0079,CUST012,docs_received,Completed,2026-01-29
EVT0080,CUST012,screening_completed,Completed,2026-02-01
EVT0081,CUST012,analyst_review,Completed,2026-02-02
EVT0082,CUST012,compliance_review,Completed,2026-02-06
EVT0083,CUST012,approved,Completed,2026-02-09
EVT0084,CUST013,application_submitted,Completed,2026-03-18
EVT0085,CUST013,docs_requested,Completed,2026-03-23
EVT0086,CUST013,docs_received,Completed,2026-03-25
EVT0087,CUST013,screening_completed,Completed,2026-03-30
EVT0088,CUST013,analyst_review,Completed,2026-04-01
EVT0089,CUST013,compliance_review,Completed,2026-04-06
EVT0090,CUST013,approved,Completed,2026-04-08
EVT0091,CUST014,application_submitted,Completed,2026-01-26
EVT0092,CUST014,docs_requested,Completed,2026-01-30
EVT0093,CUST014,docs_received,Completed,2026-02-05
EVT0094,CUST014,screening_completed,Completed,2026-02-09
EVT0095,CUST014,analyst_review,Completed,2026-02-15
EVT0096,CUST014,compliance_review,Completed,2026-02-19
EVT0097,CUST014,approved,Completed,2026-02-25
EVT0098,CUST015,application_submitted,Completed,2026-04-14
EVT0099,CUST015,docs_requested,Completed,2026-04-21
EVT0100,CUST015,docs_received,Completed,2026-04-28
EVT0101,CUST015,screening_completed,Completed,2026-05-03
EVT0102,CUST015,analyst_review,Completed,2026-05-05
EVT0103,CUST015,compliance_review,Completed,2026-05-07
EVT0104,CUST015,approved,Completed,2026-05-14
EVT0105,CUST016,application_submitted,Completed,2025-12-19
EVT0106,CUST016,docs_requested,Completed,2025-12-20
EVT0107,CUST016,docs_received,Completed,2025-12-21
EVT0108,CUST016,screening_completed,Completed,2025-12-25
EVT0109,CUST016,analyst_review,Completed,2025-12-29
EVT0110,CUST016,compliance_review,Completed,2025-12-30
EVT0111,CUST016,approved,Completed,2025-12-31
EVT0112,CUST017,application_submitted,Completed,2025-12-19
EVT0113,CUST017,docs_requested,Completed,2025-12-23
EVT0114,CUST017,docs_received,Completed,2025-12-27
EVT0115,CUST017,screening_completed,Completed,2026-01-02
EVT0116,CUST017,analyst_review,Completed,2026-01-06
EVT0117,CUST017,compliance_review,Completed,2026-01-08
EVT0118,CUST017,approved,Completed,2026-01-10
EVT0119,CUST018,application_submitted,Completed,2026-01-10
EVT0120,CUST018,docs_requested,Completed,2026-01-17
EVT0121,CUST018,docs_received,Completed,2026-01-19
EVT0122,CUST018,screening_completed,Completed,2026-01-24
EVT0123,CUST018,analyst_review,Completed,2026-01-31
EVT0124,CUST018,compliance_review,Completed,2026-02-05
EVT0125,CUST018,approved,Completed,2026-02-07
EVT0126,CUST019,application_submitted,Completed,2026-03-02
EVT0127,CUST019,docs_requested,Completed,2026-03-06
EVT0128,CUST019,docs_received,Completed,2026-03-10
EVT0129,CUST019,screening_completed,Completed,2026-03-16
EVT0130,CUST019,analyst_review,Completed,2026-03-18
EVT0131,CUST019,compliance_review,Completed,2026-03-20
EVT0132,CUST019,approved,Completed,2026-03-22
EVT0133,CUST020,application_submitted,Completed,2026-04-11
EVT0134,CUST020,docs_requested,Completed,2026-04-15
EVT0135,CUST020,docs_received,Completed,2026-04-19
EVT0136,CUST020,screening_completed,Completed,2026-04-20
EVT0137,CUST020,analyst_review,Completed,2026-04-21
EVT0138,CUST020,compliance_review,Completed,2026-04-24
EVT0139,CUST020,approved,Completed,2026-04-25
EVT0140,CUST021,application_submitted,Completed,2026-04-07
EVT0141,CUST021,docs_requested,Completed,2026-04-11
EVT0142,CUST021,docs_received,Completed,2026-04-15
EVT0143,CUST021,screening_completed,Completed,2026-04-17
EVT0144,CUST021,analyst_review,Completed,2026-04-23
EVT0145,CUST021,compliance_review,Completed,2026-04-27
EVT0146,CUST021,approved,Completed,2026-04-29
EVT0147,CUST022,application_submitted,Completed,2026-02-07
EVT0148,CUST022,docs_requested,Completed,2026-02-14
EVT0149,CUST022,docs_received,Completed,2026-02-21
EVT0150,CUST022,screening_completed,Completed,2026-02-23
EVT0151,CUST022,analyst_review,Completed,2026-02-28
EVT0152,CUST022,compliance_review,Completed,2026-03-05
EVT0153,CUST022,approved,Completed,2026-03-12
EVT0154,CUST023,application_submitted,Completed,2026-03-11
EVT0155,CUST023,docs_requested,Completed,2026-03-15
EVT0156,CUST023,docs_received,Completed,2026-03-18
EVT0157,CUST023,screening_completed,Completed,2026-03-19
EVT0158,CUST023,analyst_review,Completed,2026-03-23
EVT0159,CUST023,compliance_review,Completed,2026-03-26
EVT0160,CUST023,approved,Completed,2026-03-27
EVT0161,CUST024,application_submitted,Completed,2025-12-27
EVT0162,CUST024,docs_requested,Completed,2025-12-29
EVT0163,CUST024,docs_received,Completed,2026-01-05
EVT0164,CUST024,screening_completed,Completed,2026-01-10
EVT0165,CUST024,analyst_review,Completed,2026-01-17
EVT0166,CUST024,compliance_review,Completed,2026-01-22
EVT0167,CUST024,approved,Completed,2026-01-24
EVT0168,CUST025,application_submitted,Completed,2026-04-06
EVT0169,CUST025,docs_requested,Completed,2026-04-10
EVT0170,CUST025,docs_received,Completed,2026-04-14
EVT0171,CUST025,screening_completed,Completed,2026-04-20
EVT0172,CUST025,analyst_review,Completed,2026-04-26
EVT0173,CUST025,compliance_review,Completed,2026-04-28
EVT0174,CUST025,approved,Completed,2026-05-04
EVT0175,CUST026,application_submitted,Completed,2026-01-09
EVT0176,CUST026,docs_requested,Completed,2026-01-12
EVT0177,CUST026,docs_received,Completed,2026-01-16
EVT0178,CUST026,screening_completed,Completed,2026-01-19
EVT0179,CUST026,analyst_review,Completed,2026-01-20
EVT0180,CUST026,compliance_review,Completed,2026-01-23
EVT0181,CUST026,approved,Completed,2026-01-24
EVT0182,CUST027,application_submitted,Completed,2026-04-13
EVT0183,CUST027,docs_requested,Completed,2026-04-17
EVT0184,CUST027,docs_received,Completed,2026-04-21
EVT0185,CUST027,screening_completed,Completed,2026-04-23
EVT0186,CUST027,analyst_review,Completed,2026-04-25
EVT0187,CUST027,compliance_review,Completed,2026-04-29
EVT0188,CUST027,approved,Completed,2026-05-03
EVT0189,CUST028,application_submitted,Completed,2026-03-17
EVT0190,CUST028,docs_requested,Completed,2026-03-20
EVT0191,CUST028,docs_received,Completed,2026-03-23
EVT0192,CUST028,screening_completed,Completed,2026-03-27
EVT0193,CUST028,analyst_review,Completed,2026-03-31
EVT0194,CUST028,rejected,Completed,2026-04-04
EVT0195,CUST029,application_submitted,Completed,2026-02-10
EVT0196,CUST029,docs_requested,Completed,2026-02-14
EVT0197,CUST029,docs_received,Completed,2026-02-20
EVT0198,CUST029,screening_completed,Completed,2026-02-22
EVT0199,CUST029,analyst_review,Completed,2026-02-24
EVT0200,CUST029,compliance_review,Completed,2026-03-02
EVT0201,CUST029,approved,Completed,2026-03-06
EVT0202,CUST030,application_submitted,Completed,2026-03-13
EVT0203,CUST030,docs_requested,Completed,2026-03-17
EVT0204,CUST030,docs_received,Completed,2026-03-23
EVT0205,CUST030,screening_completed,Completed,2026-03-29
EVT0206,CUST030,analyst_review,Completed,2026-04-04
EVT0207,CUST030,compliance_review,Completed,2026-04-08
EVT0208,CUST030,approved,Completed,2026-04-14
EVT0209,CUST031,application_submitted,Completed,2026-01-23
EVT0210,CUST031,docs_requested,Completed,2026-01-28
EVT0211,CUST031,docs_received,Completed,2026-02-04
EVT0212,CUST031,screening_completed,Completed,2026-02-06
EVT0213,CUST031,analyst_review,Completed,2026-02-08
EVT0214,CUST031,compliance_review,Completed,2026-02-10
EVT0215,CUST031,approved,Completed,2026-02-15
EVT0216,CUST032,application_submitted,Completed,2026-03-20
EVT0217,CUST032,docs_requested,Completed,2026-03-24
EVT0218,CUST032,docs_received,Completed,2026-03-27
EVT0219,CUST032,screening_completed,Completed,2026-03-30
EVT0220,CUST032,analyst_review,Completed,2026-04-03
EVT0221,CUST032,compliance_review,Completed,2026-04-07
EVT0222,CUST032,approved,Completed,2026-04-11
EVT0223,CUST033,application_submitted,Completed,2026-03-21
EVT0224,CUST033,docs_requested,Completed,2026-03-23
EVT0225,CUST033,docs_received,Completed,2026-03-25
EVT0226,CUST033,screening_completed,Completed,2026-03-31
EVT0227,CUST033,analyst_review,Completed,2026-04-06
EVT0228,CUST033,compliance_review,Completed,2026-04-08
EVT0229,CUST033,approved,Completed,2026-04-14
EVT0230,CUST034,application_submitted,Completed,2026-04-11
EVT0231,CUST034,docs_requested,Completed,2026-04-15
EVT0232,CUST034,docs_received,Completed,2026-04-17
EVT0233,CUST034,screening_completed,Completed,2026-04-23
EVT0234,CUST034,analyst_review,Completed,2026-04-25
EVT0235,CUST034,compliance_review,Completed,2026-04-27
EVT0236,CUST034,approved,Completed,2026-05-03
EVT0237,CUST035,application_submitted,Completed,2026-03-10
EVT0238,CUST035,docs_requested,Completed,2026-03-13
EVT0239,CUST035,docs_received,Completed,2026-03-16
EVT0240,CUST035,screening_completed,Completed,2026-03-17
EVT0241,CUST035,analyst_review,Completed,2026-03-18
EVT0242,CUST035,compliance_review,Completed,2026-03-20
EVT0243,CUST035,approved,Completed,2026-03-22
EVT0244,CUST036,application_submitted,Completed,2026-02-14
EVT0245,CUST036,docs_requested,Completed,2026-02-21
EVT0246,CUST036,docs_received,Completed,2026-02-23
EVT0247,CUST036,screening_completed,Completed,2026-03-02
EVT0248,CUST036,analyst_review,Completed,2026-03-09
EVT0249,CUST036,rejected,Completed,2026-03-14
EVT0250,CUST037,application_submitted,Completed,2026-04-05
EVT0251,CUST037,docs_requested,Completed,2026-04-08
EVT0252,CUST037,docs_received,Completed,2026-04-09
EVT0253,CUST037,screening_completed,Completed,2026-04-12
EVT0254,CUST037,analyst_review,Completed,2026-04-13
EVT0255,CUST037,compliance_review,Completed,2026-04-17
EVT0256,CUST037,approved,Completed,2026-04-21
EVT0257,CUST038,application_submitted,Completed,2025-12-27
EVT0258,CUST038,docs_requested,Completed,2026-01-05
EVT0259,CUST038,docs_received,Completed,2026-01-11
EVT0260,CUST038,screening_completed,Completed,2026-01-20
EVT0261,CUST038,analyst_review,Completed,2026-01-26
EVT0262,CUST038,rejected,Completed,2026-02-04
EVT0263,CUST039,application_submitted,Completed,2026-03-06
EVT0264,CUST039,docs_requested,Completed,2026-03-08
EVT0265,CUST039,docs_received,Completed,2026-03-15
EVT0266,CUST039,screening_completed,Completed,2026-03-17
EVT0267,CUST039,analyst_review,Completed,2026-03-24
EVT0268,CUST039,rejected,Completed,2026-03-26
EVT0269,CUST040,application_submitted,Completed,2026-02-19
EVT0270,CUST040,docs_requested,Completed,2026-02-25
EVT0271,CUST040,docs_received,Completed,2026-02-27
EVT0272,CUST040,screening_completed,Completed,2026-03-05
EVT0273,CUST040,analyst_review,Completed,2026-03-07
EVT0274,CUST040,compliance_review,Completed,2026-03-09
EVT0275,CUST040,approved,Completed,2026-03-13
EVT0276,CUST041,application_submitted,Completed,2026-03-15
EVT0277,CUST041,docs_requested,Completed,2026-03-19
EVT0278,CUST041,docs_received,Completed,2026-03-23
EVT0279,CUST041,screening_completed,Completed,2026-03-25
EVT0280,CUST041,analyst_review,Completed,2026-03-27
EVT0281,CUST041,compliance_review,Completed,2026-04-02
EVT0282,CUST041,approved,Completed,2026-04-08
EVT0283,CUST042,application_submitted,Completed,2026-02-07
EVT0284,CUST042,docs_requested,Completed,2026-02-11
EVT0285,CUST042,docs_received,Completed,2026-02-15
EVT0286,CUST042,screening_completed,Completed,2026-02-19
EVT0287,CUST042,analyst_review,Completed,2026-02-23
EVT0288,CUST042,rejected,Completed,2026-02-27
EVT0289,CUST043,application_submitted,Completed,2026-02-14
EVT0290,CUST043,docs_requested,Completed,2026-02-18
EVT0291,CUST043,docs_received,Completed,2026-02-19
EVT0292,CUST043,screening_completed,Completed,2026-02-23
EVT0293,CUST043,analyst_review,Completed,2026-02-26
EVT0294,CUST043,compliance_review,Completed,2026-02-27
EVT0295,CUST043,approved,Completed,2026-03-03
EVT0296,CUST044,application_submitted,Completed,2026-03-01
EVT0297,CUST044,docs_requested,Completed,2026-03-08
EVT0298,CUST044,docs_received,Completed,2026-03-10
EVT0299,CUST044,screening_completed,Completed,2026-03-17
EVT0300,CUST044,analyst_review,Completed,2026-03-19
EVT0301,CUST044,compliance_review,Completed,2026-03-21
EVT0302,CUST044,approved,Completed,2026-03-26
EVT0303,CUST045,application_submitted,Completed,2026-02-23
EVT0304,CUST045,docs_requested,Completed,2026-03-02
EVT0305,CUST045,docs_received,Completed,2026-03-09
EVT0306,CUST045,screening_completed,Completed,2026-03-16
EVT0307,CUST045,analyst_review,Completed,2026-03-21
EVT0308,CUST045,compliance_review,Completed,2026-03-28
EVT0309,CUST045,approved,Completed,2026-03-30
EVT0310,CUST046,application_submitted,Completed,2026-04-08
EVT0311,CUST046,docs_requested,Completed,2026-04-12
EVT0312,CUST046,docs_received,Completed,2026-04-16
EVT0313,CUST046,screening_completed,Completed,2026-04-18
EVT0314,CUST046,analyst_review,Completed,2026-04-22
EVT0315,CUST046,compliance_review,Completed,2026-04-24
EVT0316,CUST046,approved,Completed,2026-04-30
EVT0317,CUST047,application_submitted,Completed,2026-02-13
EVT0318,CUST047,docs_requested,Completed,2026-02-15
EVT0319,CUST047,docs_received,Completed,2026-02-22
EVT0320,CUST047,screening_completed,Completed,2026-02-27
EVT0321,CUST047,analyst_review,Completed,2026-03-06
EVT0322,CUST047,compliance_review,Completed,2026-03-08
EVT0323,CUST047,approved,Completed,2026-03-10
EVT0324,CUST048,application_submitted,Completed,2026-01-28
EVT0325,CUST048,docs_requested,Completed,2026-02-01
EVT0326,CUST048,docs_received,Completed,2026-02-02
EVT0327,CUST048,screening_completed,Completed,2026-02-05
EVT0328,CUST048,analyst_review,Completed,2026-02-09
EVT0329,CUST048,compliance_review,Completed,2026-02-13
EVT0330,CUST048,approved,Completed,2026-02-14
EVT0331,CUST049,application_submitted,Completed,2025-12-23
EVT0332,CUST049,docs_requested,Completed,2025-12-30
EVT0333,CUST049,docs_received,Completed,2026-01-01
EVT0334,CUST049,screening_completed,Completed,2026-01-06
EVT0335,CUST049,analyst_review,Completed,2026-01-11
EVT0336,CUST049,compliance_review,Completed,2026-01-13
EVT0337,CUST049,approved,Completed,2026-01-15
EVT0338,CUST050,application_submitted,Completed,2026-01-21
EVT0339,CUST050,docs_requested,Completed,2026-01-28
EVT0340,CUST050,docs_received,Completed,2026-02-02
EVT0341,CUST050,screening_completed,Completed,2026-02-04
EVT0342,CUST050,analyst_review,Completed,2026-02-11
EVT0343,CUST050,compliance_review,Completed,2026-02-18
EVT0344,CUST050,approved,Completed,2026-02-25
EVT0345,CUST051,application_submitted,Completed,2026-03-14
EVT0346,CUST051,docs_requested,Completed,2026-03-16
EVT0347,CUST051,docs_received,Completed,2026-03-17
EVT0348,CUST051,screening_completed,Completed,2026-03-19
EVT0349,CUST051,analyst_review,Completed,2026-03-20
EVT0350,CUST051,compliance_review,Completed,2026-03-23
EVT0351,CUST051,approved,Completed,2026-03-25
EVT0352,CUST052,application_submitted,Completed,2025-12-20
EVT0353,CUST052,docs_requested,Completed,2025-12-24
EVT0354,CUST052,docs_received,Completed,2025-12-26
EVT0355,CUST052,screening_completed,Completed,2026-01-01
EVT0356,CUST052,analyst_review,Completed,2026-01-07
EVT0357,CUST052,compliance_review,Completed,2026-01-13
EVT0358,CUST052,approved,Completed,2026-01-19
EVT0359,CUST053,application_submitted,Completed,2026-04-08
EVT0360,CUST053,docs_requested,Completed,2026-04-11
EVT0361,CUST053,docs_received,Completed,2026-04-15
EVT0362,CUST053,screening_completed,Completed,2026-04-18
EVT0363,CUST053,analyst_review,Completed,2026-04-19
EVT0364,CUST053,compliance_review,Completed,2026-04-22
EVT0365,CUST053,approved,Completed,2026-04-26
EVT0366,CUST054,application_submitted,Completed,2026-03-04
EVT0367,CUST054,docs_requested,Completed,2026-03-10
EVT0368,CUST054,docs_received,Completed,2026-03-14
EVT0369,CUST054,screening_completed,Completed,2026-03-20
EVT0370,CUST054,analyst_review,Completed,2026-03-24
EVT0371,CUST054,compliance_review,Completed,2026-03-28
EVT0372,CUST054,approved,Completed,2026-04-01
EVT0373,CUST055,application_submitted,Completed,2026-02-17
EVT0374,CUST055,docs_requested,Completed,2026-02-21
EVT0375,CUST055,docs_received,Completed,2026-02-24
EVT0376,CUST055,screening_completed,Completed,2026-02-25
EVT0377,CUST055,analyst_review,Completed,2026-02-26
EVT0378,CUST055,compliance_review,Completed,2026-03-01
EVT0379,CUST055,approved,Completed,2026-03-02
EVT0380,CUST056,application_submitted,Completed,2025-12-19
EVT0381,CUST056,docs_requested,Completed,2025-12-21
EVT0382,CUST056,docs_received,Completed,2025-12-27
EVT0383,CUST056,screening_completed,Completed,2025-12-31
EVT0384,CUST056,analyst_review,Completed,2026-01-04
EVT0385,CUST056,compliance_review,Completed,2026-01-10
EVT0386,CUST056,approved,Completed,2026-01-14
EVT0387,CUST057,application_submitted,Completed,2026-04-02
EVT0388,CUST057,docs_requested,Completed,2026-04-07
EVT0389,CUST057,docs_received,Completed,2026-04-09
EVT0390,CUST057,screening_completed,Completed,2026-04-14
EVT0391,CUST057,analyst_review,Completed,2026-04-21
EVT0392,CUST057,compliance_review,Completed,2026-04-23
EVT0393,CUST057,approved,Completed,2026-04-28
EVT0394,CUST058,application_submitted,Completed,2026-03-03
EVT0395,CUST058,docs_requested,Completed,2026-03-10
EVT0396,CUST058,docs_received,Completed,2026-03-17
EVT0397,CUST058,screening_completed,Completed,2026-03-19
EVT0398,CUST058,analyst_review,Completed,2026-03-21
EVT0399,CUST058,compliance_review,Completed,2026-03-26
EVT0400,CUST058,approved,Completed,2026-04-02
EVT0401,CUST059,application_submitted,Completed,2025-12-24
EVT0402,CUST059,docs_requested,Completed,2025-12-26
EVT0403,CUST059,docs_received,Completed,2025-12-28
EVT0404,CUST059,screening_completed,Completed,2025-12-30
EVT0405,CUST059,analyst_review,Completed,2026-01-05
EVT0406,CUST059,compliance_review,Completed,2026-01-11
EVT0407,CUST059,approved,Completed,2026-01-13
EVT0408,CUST060,application_submitted,Completed,2026-04-15
EVT0409,CUST060,docs_requested,Completed,2026-04-16
EVT0410,CUST060,docs_received,Completed,2026-04-18
EVT0411,CUST060,screening_completed,Completed,2026-04-20
EVT0412,CUST060,analyst_review,Completed,2026-04-21
EVT0413,CUST060,compliance_review,Completed,2026-04-22
EVT0414,CUST060,approved,Completed,2026-04-25
EVT0415,CUST061,application_submitted,Completed,2026-02-18
EVT0416,CUST061,docs_requested,Completed,2026-02-25
EVT0417,CUST061,docs_received,Completed,2026-03-02
EVT0418,CUST061,screening_completed,Completed,2026-03-04
EVT0419,CUST061,analyst_review,Completed,2026-03-11
EVT0420,CUST061,compliance_review,Completed,2026-03-18
EVT0421,CUST061,approved,Completed,2026-03-23
EVT0422,CUST062,application_submitted,Completed,2025-12-23
EVT0423,CUST062,docs_requested,Completed,2025-12-29
EVT0424,CUST062,docs_received,Completed,2026-01-02
EVT0425,CUST062,screening_completed,Completed,2026-01-06
EVT0426,CUST062,analyst_review,Completed,2026-01-10
EVT0427,CUST062,compliance_review,Completed,2026-01-14
EVT0428,CUST062,approved,Completed,2026-01-18
EVT0429,CUST063,application_submitted,Completed,2026-02-06
EVT0430,CUST063,docs_requested,Completed,2026-02-10
EVT0431,CUST063,docs_received,Completed,2026-02-14
EVT0432,CUST063,screening_completed,Completed,2026-02-20
EVT0433,CUST063,analyst_review,Completed,2026-02-24
EVT0434,CUST063,rejected,Completed,2026-02-28
EVT0435,CUST064,application_submitted,Completed,2026-03-05
EVT0436,CUST064,docs_requested,Completed,2026-03-10
EVT0437,CUST064,docs_received,Completed,2026-03-15
EVT0438,CUST064,screening_completed,Completed,2026-03-17
EVT0439,CUST064,analyst_review,Completed,2026-03-22
EVT0440,CUST064,compliance_review,Completed,2026-03-27
EVT0441,CUST064,approved,Completed,2026-04-03
EVT0442,CUST065,application_submitted,Completed,2026-04-02
EVT0443,CUST065,docs_requested,Completed,2026-04-08
EVT0444,CUST065,docs_received,Completed,2026-04-10
EVT0445,CUST065,screening_completed,Completed,2026-04-12
EVT0446,CUST065,analyst_review,Completed,2026-04-16
EVT0447,CUST065,compliance_review,Completed,2026-04-22
EVT0448,CUST065,approved,Completed,2026-04-28
EVT0449,CUST066,application_submitted,Completed,2025-12-19
EVT0450,CUST066,docs_requested,Completed,2025-12-22
EVT0451,CUST066,docs_received,Completed,2025-12-25
EVT0452,CUST066,screening_completed,Completed,2025-12-26
EVT0453,CUST066,analyst_review,Completed,2025-12-27
EVT0454,CUST066,compliance_review,Completed,2025-12-30
EVT0455,CUST066,approved,Completed,2026-01-03
EVT0456,CUST067,application_submitted,Completed,2026-03-23
EVT0457,CUST067,docs_requested,Completed,2026-03-25
EVT0458,CUST067,docs_received,Completed,2026-03-28
EVT0459,CUST067,screening_completed,Completed,2026-03-31
EVT0460,CUST067,analyst_review,Completed,2026-04-03
EVT0461,CUST067,compliance_review,Completed,2026-04-05
EVT0462,CUST067,approved,Completed,2026-04-07
EVT0463,CUST068,application_submitted,Completed,2026-01-07
EVT0464,CUST068,docs_requested,Completed,2026-01-11
EVT0465,CUST068,docs_received,Completed,2026-01-15
EVT0466,CUST068,screening_completed,Completed,2026-01-18
EVT0467,CUST068,analyst_review,Completed,2026-01-21
EVT0468,CUST068,compliance_review,Completed,2026-01-22
EVT0469,CUST068,approved,Completed,2026-01-25
EVT0470,CUST069,application_submitted,Completed,2026-03-21
EVT0471,CUST069,docs_requested,Completed,2026-03-23
EVT0472,CUST069,docs_received,Completed,2026-03-29
EVT0473,CUST069,screening_completed,Completed,2026-04-04
EVT0474,CUST069,analyst_review,Completed,2026-04-08
EVT0475,CUST069,compliance_review,Completed,2026-04-10
EVT0476,CUST069,approved,Completed,2026-04-16
EVT0477,CUST070,application_submitted,Completed,2026-04-17
EVT0478,CUST070,docs_requested,Completed,2026-04-19
EVT0479,CUST070,docs_received,Completed,2026-04-26
EVT0480,CUST070,screening_completed,Completed,2026-04-28
EVT0481,CUST070,analyst_review,Completed,2026-04-30
EVT0482,CUST070,rejected,Completed,2026-05-07
EVT0483,CUST071,application_submitted,Completed,2026-04-07
EVT0484,CUST071,docs_requested,Completed,2026-04-11
EVT0485,CUST071,docs_received,Completed,2026-04-13
EVT0486,CUST071,screening_completed,Completed,2026-04-19
EVT0487,CUST071,analyst_review,Completed,2026-04-21
EVT0488,CUST071,compliance_review,Completed,2026-04-23
EVT0489,CUST071,approved,Completed,2026-04-25
EVT0490,CUST072,application_submitted,Completed,2026-04-11
EVT0491,CUST072,docs_requested,Completed,2026-04-15
EVT0492,CUST072,docs_received,Completed,2026-04-18
EVT0493,CUST072,screening_completed,Completed,2026-04-21
EVT0494,CUST072,analyst_review,Completed,2026-04-22
EVT0495,CUST072,compliance_review,Completed,2026-04-26
EVT0496,CUST072,approved,Completed,2026-04-30
EVT0497,CUST073,application_submitted,Completed,2026-04-11
EVT0498,CUST073,docs_requested,Completed,2026-04-14
EVT0499,CUST073,docs_received,Completed,2026-04-16
EVT0500,CUST073,screening_completed,Completed,2026-04-17
EVT0501,CUST073,analyst_review,Completed,2026-04-18
EVT0502,CUST073,compliance_review,Completed,2026-04-21
EVT0503,CUST073,approved,Completed,2026-04-22
EVT0504,CUST074,application_submitted,Completed,2026-01-04
EVT0505,CUST074,docs_requested,Completed,2026-01-08
EVT0506,CUST074,docs_received,Completed,2026-01-12
EVT0507,CUST074,screening_completed,Completed,2026-01-15
EVT0508,CUST074,analyst_review,Completed,2026-01-19
