flag_id,customer_id,flag_type,flag_severity,created_date
FLAG0038,CUST021,unusual_expected_volume,Medium,2026-04-05
FLAG0039,CUST021,incomplete_docs,Medium,2026-04-05
FLAG0040,CUST022,high_risk_jurisdiction,High,2026-02-02
FLAG0041,CUST022,complex_ubo,High,2026-02-02
FLAG0042,CUST022,adverse_media,High,2026-02-02
FLAG0043,CUST023,incomplete_docs,Medium,2026-03-07
FLAG0044,CUST024,high_risk_jurisdiction,High,2025-12-22
FLAG0045,CUST024,complex_ubo,High,2025-12-22
FLAG0046,CUST024,unusual_expected_volume,Medium,2025-12-22
FLAG0047,CUST025,unusual_expected_volume,Medium,2026-03-31
FLAG0048,CUST025,incomplete_docs,Medium,2026-03-31
FLAG0049,CUST026,unusual_expected_volume,Medium,2026-01-06
FLAG0050,CUST027,unusual_expected_volume,Medium,2026-04-11
FLAG0051,CUST027,incomplete_docs,Medium,2026-04-11
FLAG0052,CUST028,incomplete_docs,Medium,2026-03-14
FLAG0053,CUST029,unusual_expected_volume,Medium,2026-02-04
FLAG0054,CUST029,incomplete_docs,Medium,2026-02-04
FLAG0055,CUST030,complex_ubo,High,2026-03-11
FLAG0056,CUST030,incomplete_docs,Medium,2026-03-11
FLAG0057,CUST031,high_risk_jurisdiction,High,2026-01-18
FLAG0058,CUST031,unusual_expected_volume,Medium,2026-01-18
FLAG0059,CUST031,incomplete_docs,Medium,2026-01-18
FLAG0060,CUST032,incomplete_docs,Medium,2026-03-16
FLAG0061,CUST033,unusual_expected_volume,Medium,2026-03-15
FLAG0062,CUST033,incomplete_docs,Medium,2026-03-15
FLAG0063,CUST034,complex_ubo,High,2026-04-05
FLAG0064,CUST034,incomplete_docs,Medium,2026-04-05
FLAG0065,CUST036,high_risk_jurisdiction,High,2026-02-12
FLAG0066,CUST036,unusual_expected_volume,Medium,2026-02-12
FLAG0067,CUST036,incomplete_docs,Medium,2026-02-12
FLAG0068,CUST037,incomplete_docs,Medium,2026-04-01
FLAG0069,CUST038,high_risk_jurisdiction,High,2025-12-24
FLAG0070,CUST038,complex_ubo,High,2025-12-24
FLAG0071,CUST038,unusual_expected_volume,Medium,2025-12-24
FLAG0072,CUST038,incomplete_docs,Medium,2025-12-24
FLAG0073,CUST039,complex_ubo,High,2026-03-01
FLAG0074,CUST039,unusual_expected_volume,Medium,2026-03-01
FLAG0075,CUST039,incomplete_docs,Medium,2026-03-01
FLAG0076,CUST040,unusual_expected_volume,Medium,2026-02-15
FLAG0077,CUST040,incomplete_docs,Medium,2026-02-15
FLAG0078,CUST041,unusual_expected_volume,Medium,2026-03-13
FLAG0079,CUST041,incomplete_docs,Medium,2026-03-13
FLAG0080,CUST042,unusual_expected_volume,Medium,2026-02-03
FLAG0081,CUST042,incomplete_docs,Medium,2026-02-03
FLAG0082,CUST043,unusual_expected_volume,Medium,2026-02-10
FLAG0083,CUST044,high_risk_jurisdiction,High,2026-02-24
FLAG0084,CUST044,complex_ubo,High,2026-02-24
FLAG0085,CUST044,incomplete_docs,Medium,2026-02-24
FLAG0086,CUST045,complex_ubo,High,2026-02-18
FLAG0087,CUST045,unusual_expected_volume,Medium,2026-02-18
FLAG0088,CUST045,incomplete_docs,Medium,2026-02-18
FLAG0089,CUST046,high_risk_jurisdiction,High,2026-04-06
FLAG0090,CUST046,complex_ubo,High,2026-04-06
FLAG0091,CUST047,complex_ubo,High,2026-02-11
FLAG0092,CUST047,unusual_expected_volume,Medium,2026-02-11
FLAG0093,CUST047,incomplete_docs,Medium,2026-02-11
FLAG0094,CUST048,incomplete_docs,Medium,2026-01-27
FLAG0095,CUST049,unusual_expected_volume,Medium,2025-12-21
FLAG0096,CUST049,adverse_media,High,2025-12-21
FLAG0097,CUST049,incomplete_docs,Medium,2025-12-21
FLAG0098,CUST050,complex_ubo,High,2026-01-19
FLAG0099,CUST050,unusual_expected_volume,Medium,2026-01-19
FLAG0100,CUST050,incomplete_docs,Medium,2026-01-19
FLAG0101,CUST052,high_risk_jurisdiction,High,2025-12-16
FLAG0102,CUST052,unusual_expected_volume,Medium,2025-12-16
FLAG0103,CUST053,incomplete_docs,Medium,2026-04-04
FLAG0104,CUST054,unusual_expected_volume,Medium,2026-02-28
FLAG0105,CUST054,incomplete_docs,Medium,2026-02-28
FLAG0106,CUST055,incomplete_docs,Medium,2026-02-16
FLAG0107,CUST056,unusual_expected_volume,Medium,2025-12-15
FLAG0108,CUST056,incomplete_docs,Medium,2025-12-15
FLAG0109,CUST057,complex_ubo,High,2026-03-31
FLAG0110,CUST057,unusual_expected_volume,Medium,2026-03-31
FLAG0111,CUST057,incomplete_docs,Medium,2026-03-31
FLAG0112,CUST058,complex_ubo,High,2026-03-01
FLAG0113,CUST058,unusual_expected_volume,Medium,2026-03-01
FLAG0114,CUST058,incomplete_docs,Medium,2026-03-01
FLAG0115,CUST059,unusual_expected_volume,Medium,2025-12-18
FLAG0116,CUST059,incomplete_docs,Medium,2025-12-18
FLAG0117,CUST061,complex_ubo,High,2026-02-16
FLAG0118,CUST061,unusual_expected_volume,Medium,2026-02-16
FLAG0119,CUST061,incomplete_docs,Medium,2026-02-16
FLAG0120,CUST062,high_risk_jurisdiction,High,2025-12-21
FLAG0121,CUST062,incomplete_docs,Medium,2025-12-21
FLAG0122,CUST063,unusual_expected_volume,Medium,2026-02-02
FLAG0123,CUST063,incomplete_docs,Medium,2026-02-02
FLAG0124,CUST064,unusual_expected_volume,Medium,2026-02-26
FLAG0125,CUST064,adverse_media,High,2026-02-26
FLAG0126,CUST064,incomplete_docs,Medium,2026-02-26
FLAG0127,CUST065,unusual_expected_volume,Medium,2026-03-31
FLAG0128,CUST065,incomplete_docs,Medium,2026-03-31
FLAG0129,CUST066,unusual_expected_volume,Medium,2025-12-15
FLAG0130,CUST068,incomplete_docs,Medium,2026-01-03
FLAG0131,CUST069,adverse_media,High,2026-03-19
FLAG0132,CUST069,incomplete_docs,Medium,2026-03-19
FLAG0133,CUST070,high_risk_jurisdiction,High,2026-04-10
FLAG0134,CUST070,complex_ubo,High,2026-04-10
FLAG0135,CUST070,incomplete_docs,Medium,2026-04-10
FLAG0136,CUST071,unusual_expected_volume,Medium,2026-04-05
FLAG0137,CUST071,incomplete_docs,Medium,2026-04-05
FLAG0138,CUST072,unusual_expected_volume,Medium,2026-04-10
FLAG0139,CUST074,unusual_expected_volume,Medium,2026-01-03
FLAG0140,CUST075,unusual_expected_volume,Medium,2026-01-30
FLAG0141,CUST075,adverse_media,High,2026-01-30
FLAG0142,CUST076,incomplete_docs,Medium,2026-02-06
FLAG0143,CUST077,unusual_expected_volume,Medium,2025-12-17
FLAG0144,CUST077,incomplete_docs,Medium,2025-12-17
FLAG0145,CUST078,unusual_expected_volume,Medium,2025-12-19
FLAG0146,CUST078,incomplete_docs,Medium,2025-12-19
FLAG0147,CUST079,unusual_expected_volume,Medium,2026-02-21
FLAG0148,CUST079,incomplete_docs,Medium,2026-02-21
FLAG0149,CUST080,unusual_expected_volume,Medium,2026-01-18
FLAG0150,CUST081,high_risk_jurisdiction,High,2025-12-28
FLAG0151,CUST081,complex_ubo,High,2025-12-28
FLAG0152,CUST081,unusual_expected_volume,Medium,2025-12-28
FLAG0153,CUST081,adverse_media,High,2025-12-28
FLAG0154,CUST081,incomplete_docs,Medium,2025-12-28
FLAG0155,CUST082,unusual_expected_volume,Medium,2026-01-03
FLAG0156,CUST082,adverse_media,High,2026-01-03
FLAG0157,CUST082,incomplete_docs,Medium,2026-01-03
FLAG0158,CUST083,unusual_expected_volume,Medium,2026-03-17
FLAG0159,CUST083,incomplete_docs,Medium,2026-03-17
FLAG0160,CUST084,high_risk_jurisdiction,High,2026-01-19
FLAG0161,CUST084,unusual_expected_volume,Medium,2026-01-19
FLAG0162,CUST085,incomplete_docs,Medium,2025-12-31
FLAG0163,CUST087,incomplete_docs,Medium,2026-01-12
FLAG0164,CUST088,high_risk_jurisdiction,High,2026-01-20
FLAG0165,CUST089,incomplete_docs,Medium,2026-01-01
FLAG0166,CUST090,high_risk_jurisdiction,High,2026-03-27
FLAG0167,CUST090,complex_ubo,High,2026-03-27
FLAG0168,CUST090,unusual_expected_volume,Medium,2026-03-27
FLAG0169,CUST090,incomplete_docs,Medium,2026-03-27
FLAG0170,CUST091,high_risk_jurisdiction,High,2025-12-30
FLAG0171,CUST091,unusual_expected_volume,Medium,2025-12-30
FLAG0172,CUST092,high_risk_jurisdiction,High,2025-12-24
FLAG0173,CUST092,complex_ubo,High,2025-12-24
FLAG0174,CUST092,unusual_expected_volume,Medium,2025-12-24
FLAG0175,CUST093,high_risk_jurisdiction,High,2026-01-22
FLAG0176,CUST093,unusual_expected_volume,Medium,2026-01-22
FLAG0177,CUST093,adverse_media,High,2026-01-22
FLAG0178,CUST093,incomplete_docs,Medium,2026-01-22
FLAG0179,CUST094,incomplete_docs,Medium,2026-02-16
FLAG0180,CUST095,complex_ubo,High,2026-03-04
FLAG0181,CUST095,unusual_expected_volume,Medium,2026-03-04
FLAG0182,CUST096,unusual_expected_volume,Medium,2026-01-15
FLAG0183,CUST096,incomplete_docs,Medium,2026-01-15
FLAG0184,CUST097,unusual_expected_volume,Medium,2026-03-02
FLAG0185,CUST097,incomplete_docs,Medium,2026-03-02
FLAG0186,CUST098,high_risk_jurisdiction,High,2026-02-19
FLAG0187,CUST098,complex_ubo,High,2026-02-19
FLAG0188,CUST098,unusual_expected_volume,Medium,2026-02-19
FLAG0189,CUST098,incomplete_docs,Medium,2026-02-19
FLAG0190,CUST099,high_risk_jurisdiction,High,2026-02-11
FLAG0191,CUST099,unusual_expected_volume,Medium,2026-02-11
FLAG0192,CUST100,complex_ubo,High,2025-12-20
FLAG0193,CUST100,unusual_expected_volume,Medium,2025-12-20
FLAG0194,CUST101,high_risk_jurisdiction,High,2026-03-10
FLAG0195,CUST101,adverse_media,High,2026-03-10
FLAG0196,CUST101,incomplete_docs,Medium,2026-03-10
FLAG0197,CUST102,high_risk_jurisdiction,High,2026-01-18
FLAG0198,CUST102,unusual_expected_volume,Medium,2026-01-18
FLAG0199,CUST102,adverse_media,High,2026-01-18
FLAG0200,CUST102,incomplete_docs,Medium,2026-01-18
FLAG0201,CUST103,high_risk_jurisdiction,High,2026-02-04
FLAG0202,CUST103,unusual_expected_volume,Medium,2026-02-04
FLAG0203,CUST103,incomplete_docs,Medium,2026-02-04
FLAG0204,CUST104,unusual_expected_volume,Medium,2026-02-18
FLAG0205,CUST104,incomplete_docs,Medium,2026-02-18
FLAG0206,CUST105,incomplete_docs,Medium,2026-02-24
FLAG0207,CUST106,unusual_expected_volume,Medium,2026-01-06
FLAG0208,CUST106,incomplete_docs,Medium,2026-01-06
FLAG0209,CUST107,high_risk_jurisdiction,High,2026-04-03
FLAG0210,CUST107,unusual_expected_volume,Medium,2026-04-03
FLAG0211,CUST108,high_risk_jurisdiction,High,2026-01-20
FLAG0212,CUST108,incomplete_docs,Medium,2026-01-20
FLAG0213,CUST109,incomplete_docs,Medium,2025-12-27
FLAG0214,CUST110,complex_ubo,High,2026-02-12
FLAG0215,CUST111,unusual_expected_volume,Medium,2026-03-12
FLAG0216,CUST111,incomplete_docs,Medium,2026-03-12
FLAG0217,CUST112,complex_ubo,High,2026-03-31
FLAG0218,CUST112,unusual_expected_volume,Medium,2026-03-31
FLAG0219,CUST112,incomplete_docs,Medium,2026-03-31
FLAG0220,CUST113,complex_ubo,High,2026-01-12
FLAG0221,CUST113,unusual_expected_volume,Medium,2026-01-12
FLAG0222,CUST114,unusual_expected_volume,Medium,2026-01-05
FLAG0223,CUST114,incomplete_docs,Medium,2026-01-05
FLAG0224,CUST115,unusual_expected_volume,Medium,2026-04-08
FLAG0225,CUST115,incomplete_docs,Medium,2026-04-08
FLAG0226,CUST116,incomplete_docs,Medium,2026-02-08
FLAG0227,CUST117,incomplete_docs,Medium,2026-02-17
FLAG0228,CUST119,unusual_expected_volume,Medium,2025-12-29
FLAG0229,CUST120,complex_ubo,High,2025-12-22
FLAG0230,CUST120,unusual_expected_volume,Medium,2025-12-22
FLAG0231,CUST120,adverse_media,High,2025-12-22
