customer_id,risk_score,risk_band,mandatory_docs_complete,decision_route,decision_reason
CUST038,60,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST039,50,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST040,15,Low,0,Request Information,Incomplete or unverified mandatory documents
CUST041,15,Low,0,Request Information,Incomplete or unverified mandatory documents
CUST042,10,Low,1,STP Auto-Approve,Low risk and complete documentation
CUST043,15,Low,0,Request Information,Incomplete or unverified mandatory documents
CUST044,35,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST045,15,Low,0,Request Information,Incomplete or unverified mandatory documents
CUST046,60,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST047,10,Low,1,STP Auto-Approve,Low risk and complete documentation
CUST048,40,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST049,45,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST050,80,High,0,Request Information,Incomplete or unverified mandatory documents
CUST051,35,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST052,40,Medium,1,Manual Review,Medium risk score
CUST053,0,Low,1,STP Auto-Approve,Low risk and complete documentation
CUST054,25,Low,0,Request Information,Incomplete or unverified mandatory documents
CUST055,15,Low,0,Request Information,Incomplete or unverified mandatory documents
CUST056,20,Low,1,STP Auto-Approve,Low risk and complete documentation
CUST057,75,High,0,Request Information,Incomplete or unverified mandatory documents
CUST058,30,Low,1,STP Auto-Approve,Low risk and complete documentation
CUST059,25,Low,0,Request Information,Incomplete or unverified mandatory documents
CUST060,15,Low,0,Request Information,Incomplete or unverified mandatory documents
CUST061,75,High,1,Enhanced Review,High risk score
CUST062,55,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST063,45,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST064,35,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST065,45,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST066,45,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST067,35,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST068,15,Low,0,Request Information,Incomplete or unverified mandatory documents
CUST069,55,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST070,55,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST071,45,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST072,15,Low,0,Request Information,Incomplete or unverified mandatory documents
CUST073,15,Low,0,Request Information,Incomplete or unverified mandatory documents
CUST074,45,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST075,25,Low,0,Request Information,Incomplete or unverified mandatory documents
CUST076,15,Low,0,Request Information,Incomplete or unverified mandatory documents
CUST077,50,Medium,1,Manual Review,Medium risk score
CUST078,45,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST079,35,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST080,15,Low,0,Request Information,Incomplete or unverified mandatory documents
CUST081,80,High,0,Request Information,Incomplete or unverified mandatory documents
CUST082,55,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST083,10,Low,1,STP Auto-Approve,Low risk and complete documentation
CUST084,35,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST085,35,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST086,0,Low,1,STP Auto-Approve,Low risk and complete documentation
CUST087,0,Low,1,STP Auto-Approve,Low risk and complete documentation
CUST088,35,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST089,0,Low,1,STP Auto-Approve,Low risk and complete documentation
CUST090,60,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST091,45,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST092,90,High,0,Request Information,Incomplete or unverified mandatory documents
CUST093,30,Low,1,STP Auto-Approve,Low risk and complete documentation
CUST094,15,Low,0,Request Information,Incomplete or unverified mandatory documents
CUST095,60,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST096,15,Low,0,Request Information,Incomplete or unverified mandatory documents
CUST097,15,Low,0,Request Information,Incomplete or unverified mandatory documents
CUST098,95,High,1,Enhanced Review,High risk score
CUST099,55,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST100,70,High,0,Request Information,Incomplete or unverified mandatory documents
CUST101,80,High,0,Request Information,Incomplete or unverified mandatory documents
CUST102,40,Medium,1,Manual Review,Medium risk score
CUST103,50,Medium,1,Manual Review,Medium risk score
CUST104,45,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST105,0,Low,1,STP Auto-Approve,Low risk and complete documentation
CUST106,0,Low,1,STP Auto-Approve,Low risk and complete documentation
CUST107,45,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST108,35,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST109,15,Low,0,Request Information,Incomplete or unverified mandatory documents
CUST110,45,Medium,1,Manual Review,Medium risk score
CUST111,70,High,0,Request Information,Incomplete or unverified mandatory documents
CUST112,60,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST113,10,Low,1,STP Auto-Approve,Low risk and complete documentation
CUST114,45,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST115,50,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST116,0,Low,1,STP Auto-Approve,Low risk and complete documentation
CUST117,35,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST118,35,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST119,100,High,0,Reject,Sanctions indicator
CUST120,40,Medium,0,Request Information,Incomplete or unverified mandatory documents
